23 Dec. 2024	0.2380	+0.0018	0.76 %
20 Dec. 2024	0.2362	+0.0009	0.38 %
19 Dec. 2024	0.2353	0	0 %
18 Dec. 2024	0.2353	-0.0003	-0.13 %
17 Dec. 2024	0.2356	-0.0002	-0.08 %
16 Dec. 2024	0.2358	+0.0012	0.51 %
13 Dec. 2024	0.2346	-0.0008	-0.34 %
12 Dec. 2024	0.2354	+0.0013	0.56 %
11 Dec. 2024	0.2341	+0.0006	0.26 %
10 Dec. 2024	0.2335	+0.0003	0.13 %
9 Dec. 2024	0.2332	+0.0005	0.21 %
6 Dec. 2024	0.2327	-0.0008	-0.34 %
5 Dec. 2024	0.2335	+0.0006	0.26 %
4 Dec. 2024	0.2329	+0.0005	0.22 %
3 Dec. 2024	0.2324	+0.0008	0.35 %
2 Dec. 2024	0.2316	+0.0011	0.48 %
29 Nov. 2024	0.2305	-0.0029	-1.24 %
28 Nov. 2024	0.2334	+0.0043	1.88 %
27 Nov. 2024	0.2291	-0.0013	-0.56 %
26 Nov. 2024	0.2304	-0.0026	-1.12 %
25 Nov. 2024	0.2330	-0.0008	-0.34 %
22 Nov. 2024	0.2338	+0.0012	0.52 %
21 Nov. 2024	0.2326	-0.0011	-0.47 %
20 Nov. 2024	0.2337	+0.0010	0.43 %
19 Nov. 2024	0.2327	+0.0016	0.69 %
18 Nov. 2024	0.2311	+0.0003	0.13 %
15 Nov. 2024	0.2308	+0.0009	0.39 %
14 Nov. 2024	0.2299	+0.0010	0.44 %
13 Nov. 2024	0.2289	-0.0005	-0.22 %
12 Nov. 2024	0.2294	+0.0004	0.17 %
11 Nov. 2024	0.2290	-0.0038	-1.63 %
8 Nov. 2024	0.2328	+0.0022	0.95 %
7 Nov. 2024	0.2306	+0.0064	2.85 %
6 Nov. 2024	0.2242	-0.0029	-1.28 %
5 Nov. 2024	0.2271	0	0 %
4 Nov. 2024	0.2271	-0.0019	-0.83 %
1 Nov. 2024	0.2290	+0.0013	0.57 %
31 Oct. 2024	0.2277	-0.0015	-0.65 %
30 Oct. 2024	0.2292	-0.0010	-0.43 %
29 Oct. 2024	0.2302	+0.0008	0.35 %
28 Oct. 2024	0.2294	-0.0027	-1.16 %
25 Oct. 2024	0.2321	-0.0004	-0.17 %
24 Oct. 2024	0.2325	+0.0017	0.74 %
23 Oct. 2024	0.2308	+0.0003	0.13 %
22 Oct. 2024	0.2305	+0.0009	0.39 %
21 Oct. 2024	0.2296	-0.0024	-1.03 %
18 Oct. 2024	0.2320	+0.0022	0.96 %
17 Oct. 2024	0.2298	-0.0016	-0.69 %
16 Oct. 2024	0.2314	-0.0031	-1.32 %
15 Oct. 2024	0.2345	-0.0019	-0.8 %
14 Oct. 2024	0.2364	+0.0024	1.03 %
11 Oct. 2024	0.2340	+0.0004	0.17 %
10 Oct. 2024	0.2336	-0.0011	-0.47 %
9 Oct. 2024	0.2347	+0.0001	0.04 %
8 Oct. 2024	0.2346	-0.0017	-0.72 %
7 Oct. 2024	0.2363	+0.0030	1.29 %
4 Oct. 2024	0.2333	+0.0018	0.78 %
3 Oct. 2024	0.2315	+0.0020	0.87 %
2 Oct. 2024	0.2295	+0.0016	0.7 %
1 Oct. 2024	0.2279	+0.0018	0.8 %
30 Sept. 2024	0.2261	-0.0022	-0.96 %
27 Sept. 2024	0.2283	+0.0002	0.09 %
26 Sept. 2024	0.2281	-0.0018	-0.78 %
